Alpukat,Avocado,evokado,https://images.unsplash.com/photo-1523049673857-eb18f1d7b578?w=500
Blackberry,Blackberry,blekberi,https://images.unsplash.com/photo-1563746098251-d35aef196e83?w=500
Blueberi,Blueberry,bluberi,https://images.unsplash.com/photo-1498557850523-fd3d118b962e?w=500
Blewah,Cantaloupe,kentalup,https://images.unsplash.com/photo-1502741338009-cac2772e18bc?w=500
Ceri,Cherry,ceri,https://images.unsplash.com/photo-1528825871115-3581a5387919?w=500
Kelapa,Coconut,kokonat,https://images.unsplash.com/photo-1513558161293-cdaf765ed2fd?w=500
Kurma,Date,deit,https://images.unsplash.com/photo-1603048297172-c92544798d5a?w=500
Buah Naga,Dragon Fruit,dragon frut,https://images.unsplash.com/photo-1526318472351-c75fcf070305?w=500
Durian,Durian,dyurian,https://images.unsplash.com/photo-1628828669957-9d6d0f5d2957?w=500
Nangka,Jack Fruit,,
Jambu Biji,Guava,guava,https://images.unsplash.com/photo-1536511132770-e5058c7e8c46?w=500
Kiwi,Kiwi,kiwi,https://images.unsplash.com/photo-1585059895524-72359e06133a?w=500
Lemon,Lemon,lemon,https://images.unsplash.com/photo-1497534446932-c925b458314e?w=500
Lime,Lime,laim,https://images.unsplash.com/photo-1519996529931-28324d5a630e?w=500
Leci,Lychee,lai-ci,https://images.unsplash.com/photo-1623065422902-30a2d299bbe4?w=500
Manggis,Mangosteen,manggostin,https://images.unsplash.com/photo-1615485291234-9fbc6f2c0f49?w=500
Zaitun,Olive,oliv,https://images.unsplash.com/photo-1474979266404-7eaacbcd87c5?w=500
Markisa,Passion Fruit,pesen frut,https://images.unsplash.com/photo-1519996521430-1d8f8a7f8c24?w=500
Persik,Peach,pic,https://images.unsplash.com/photo-1629828874514-3ec75c0d0f74?w=500
Pir,Pear,per,https://images.unsplash.com/photo-1514756331096-242fdeb70d4a?w=500
Plum,Plum,plam,https://images.unsplash.com/photo-1519974719765-e6559eac2575?w=500
Delima,Pomegranate,pomegranit,https://images.unsplash.com/photo-1541344999736-83eca272f6fc?w=500
Kismis,Raisin,reisin,https://images.unsplash.com/photo-1514517220017-8ce97a34a7b6?w=500
Rambutan,Rambutan,rambutan,https://images.unsplash.com/photo-1596591606875-4d3f4d53e5d8?w=500
Raspberry,Raspberry,rasberi,https://images.unsplash.com/photo-1577069861033-55d04cec4ef5?w=500
Sawo,Sapodilla,sapodila,https://images.unsplash.com/photo-1619566636858-adf3ef46400b?w=500
Salak,Snake Fruit,snek frut,https://images.unsplash.com/photo-1601004890684-d8cbf643f5f2?w=500
Sirsak,Soursop,saur-sop,https://images.unsplash.com/photo-1603048719358-52d4b41f652c?w=500
Belimbing,Starfruit,starfrut,https://images.unsplash.com/photo-1603048719539-9ecb4aeef0f2?w=500
Tomat,Tomato,tomato,https://images.unsplash.com/photo-1546094096-0df4bcaaa337?w=500
Jambu Air,Wax Apple,waks epel,https://images.unsplash.com/photo-1567306226416-28f0efdc88ce?w=500


