Indonesia,Inggris,Cara-baca,Link
Beruang,Bear,ber,https://i.pinimg.com/1200x/63/46/82/6346829245ae9cb08f5f41717ae71659.jpg
Lebah,Bee,bii,
Kerbau,Buffalo,,https://i.pinimg.com/1200x/25/46/b5/2546b5d47088d6ac2dbf1488a4426206.jpg
Banteng,Bull,,https://i.pinimg.com/1200x/2c/0c/9d/2c0c9db1152c387f5260272c49776201.jpg
Kupu-kupu,Butterfly,baterflai,https://i.pinimg.com/1200x/59/30/26/5930260206233d193ef1e3c600206b77.jpg
Unta,Camel,kemel,
Sapi,Cow,,https://i.pinimg.com/1200x/15/1a/ef/151aef5944926fdf119dedee3e5e338a.jpg
Kepiting,Crab,krab,
Buaya,Crocodile,krokodail,https://i.pinimg.com/1200x/b0/f5/ed/b0f5ed78b96e6df632f7b9e7641efe03.jpg
Dinosaurus,Dinosaur,dainosor,https://i.pinimg.com/1200x/19/52/8c/19528c99f231919abda18f952104e8a1.jpg
Lumba-lumba,Dolphin,dolfin,https://i.pinimg.com/1200x/d4/a7/13/d4a71359a314841f52ad06d0f93ae87d.jpg
Elang,Eagle,igel,https://i.pinimg.com/1200x/6a/a5/47/6aa547160987b7f0698420c032070e21.jpg
Flamingo,Flamingo,flaminggo,https://images.unsplash.com/photo-1497206365907-f5e630693df0?w=500
Katak,Frog,frog,https://i.pinimg.com/1200x/f4/41/36/f441365f712bfed2f59d30c9df9cd174.jpg
Jerapah,Giraffe,jiref,https://i.pinimg.com/1200x/bb/5e/f2/bb5ef2225c32fe9cea6061713889125a.jpg
Gorila,Gorilla,gorila,https://i.pinimg.com/1200x/9a/81/f8/9a81f80d632fcf308627ef261031e0ff.jpg
Kangguru,Kangaroo,kanggaru,https://i.pinimg.com/1200x/7f/09/3e/7f093eba01e8aa27137689efe35d2a58.jpg
Koala,Koala,koala,https://i.pinimg.com/1200x/55/05/31/5505315c1fce0de1e948b8a7d5f80452.jpg
Macan Tutul,Leopard,lepard,https://images.unsplash.com/photo-1526336024174-e58f5cdd8e13?w=500
Singa,Lion,,https://i.pinimg.com/1200x/0f/6d/7e/0f6d7ef6e36edcfac560f84b78da4fcc.jpg
Cicak,Lizard,lizerd,https://i.pinimg.com/1200x/7a/a9/5a/7aa95a3d8583e9c2c446293ee2e24f51.jpg
Nyamuk,Mosquito,moskito,https://images.unsplash.com/photo-1563107978-0fcb7d9d2b66?w=500
Gurita,Octopus,oktopus,https://images.unsplash.com/photo-1545671913-b89ac1b4ac10?w=500
Panda,Panda,panda,https://images.unsplash.com/photo-1564349683136-77e08dba1ef7?w=500
Merak,Peacock,pikok,https://images.unsplash.com/photo-1506973035872-a4ec16b8d4a5?w=500
Penguin,Penguin,penggwin,https://images.unsplash.com/photo-1551986782-d0169b3f8fa7?w=500
Kelinci,Rabbit,https://i.pinimg.com/1200x/69/18/54/6918540efb80c6b1f61169ea0a976f08.jpg
Hiu,Shark,syark,https://i.pinimg.com/1200x/44/51/c5/4451c5939e5a3c931f5ab24f732b36e1.jpg
Udang,Shrimp,srimp,https://images.unsplash.com/photo-1565680018434-b513d5e5fd47?w=500
Sipit,Snail,sneil,https://images.unsplash.com/photo-1501004318641-b39e6451bec6?w=500
Laba-laba,Spider,spider,https://i.pinimg.com/1200x/d3/52/d6/d352d60d739fe24e081b2ffe0fd7998b.jpg
Tapir,Tapir,tapir,https://images.unsplash.com/photo-1598755257130-c2aaca1f061c?w=500
Penyu,Turtle,tertl,https://images.unsplash.com/photo-1496196614460-48988a57fccf?w=500
Serigala,Wolf,wolf,https://images.unsplash.com/photo-1517849845537-4d257902454a?w=500
Zebra,Zebra,zebra,https://images.unsplash.com/photo-1526095179574-86e545346ae6?w=500
