Indonesia,Inggris,Cara-baca,Link
Ambulans,Ambulance,embyulens,https://i.pinimg.com/1200x/3c/f7/0a/3cf70a4debb53eecda14b74b97fd0b3e.jpg
Becak,Pedicab,,https://i.pinimg.com/1200x/d0/29/a5/d029a58bc4bbcc2c370c0388384ab535.jpg
Bulldozer,Bulldozer,buldozer,https://images.unsplash.com/photo-1504307651254-35680f356dfd?w=500
Delman,Horse Cart,hors kart,https://images.unsplash.com/photo-1504593811423-6dd665756598?w=500
Jet,Jet,jet,https://images.unsplash.com/photo-1436491865332-7a61a109cc05?w=500
Kano,Canoe,kenu,https://images.unsplash.com/photo-1507525428034-b723cf961d3e?w=500
Kapal Selam,Submarine,sabmerin,https://images.unsplash.com/photo-1518391846015-55a9cc003b25?w=500
Kapal Pesiar,Cruise Ship,kruis syip,https://images.unsplash.com/photo-1500375592092-40eb2168fd21?w=500
Mobil Balap,Race Car,res kar,https://images.unsplash.com/photo-1492144534655-ae79c964c9d7?w=500
Mobil Polisi,Police Car,polis kar,https://images.unsplash.com/photo-1518306727298-4c17e1bf6942?w=500
Mobil Pemadam,Fire Truck,fair trak,https://images.unsplash.com/photo-1562141961-4b0c4f3c7b67?w=500
Perahu,Boat,bout,https://images.unsplash.com/photo-1500375592092-40eb2168fd21?w=500
Roket,Rocket,roket,https://images.unsplash.com/photo-1516849841032-87cbac4d88f7?w=500
Sepeda Motor,Scooter,skuter,https://images.unsplash.com/photo-1558981806-ec527fa84c39?w=500
Skateboard,Skateboard,sketbord,https://images.unsplash.com/photo-1519766304817-4f37bda74a26?w=500
Taksi,Taxi,teksi,https://images.unsplash.com/photo-1511527844068-006b95d162c2?w=500
Traktor,Tractor,traktor,https://images.unsplash.com/photo-1500937386664-56d1dfef3854?w=500
Tram,Tram,tram,https://images.unsplash.com/photo-1474487548417-781cb71495f3?w=500
Truk,Truck,trak,https://images.unsplash.com/photo-1519003722824-194d4455a60c?w=500
Van,Van,ven,https://images.unsplash.com/photo-1511919884226-fd3cad34687c?w=500
Yacht,Yacht,yot,https://images.unsplash.com/photo-1507525428034-b723cf961d3e?w=500
Sepatu Roda,Roller Skates,roler skets,https://images.unsplash.com/photo-1519766304817-4f37bda74a26?w=500
Balon Udara,Hot Air Balloon,hot er balun,https://images.unsplash.com/photo-1507608616759-54f48f0af0ee?w=500
Kereta Cepat,Fast Train,fast trein,https://images.unsplash.com/photo-1474487548417-781cb71495f3?w=500
Jet Tempur,Fighter Jet,faiter jet,https://images.unsplash.com/photo-1516849841032-87cbac4d88f7?w=500
